category,accuracy,precision,recall,f1,support
Theater,0.9924885695623775,0.9206349206349206,0.932475884244373,0.9265175718849841,311
Books,0.9870999346832136,0.8323529411764706,0.9278688524590164,0.8775193798449612,305
Health,0.9810581319399085,0.7833827893175074,0.8599348534201955,0.8198757763975155,307
Real Estate,0.9900391900718485,0.8914473684210527,0.9063545150501672,0.8988391376451078,299
Fashion & Style,0.972240365774004,0.7437722419928826,0.6807817589576547,0.7108843537414966,307
Science,0.982527759634226,0.8262295081967214,0.8235294117647058,0.8248772504091653,306
Technology,0.9830176355323318,0.8358662613981763,0.8461538461538461,0.8409785932721713,325
Dance,0.993958197256695,0.9576547231270358,0.9245283018867925,0.9408,318
Television,0.9882429784454605,0.8494983277591973,0.9039145907473309,0.8758620689655172,281
Movies,0.99101894186806,0.9128919860627178,0.8972602739726028,0.9050086355785838,292
Food,0.9884062704114958,0.8432601880877743,0.9275862068965517,0.8834154351395731,290
Opinion,0.983180927498367,0.8267148014440433,0.8063380281690141,0.8163992869875223,284
Music,0.9919986936642717,0.9187279151943463,0.9090909090909091,0.9138840070298769,286
Media,0.9781188765512737,0.8178807947019867,0.7576687116564417,0.7866242038216561,326
Travel,0.9882429784454605,0.8595317725752508,0.8954703832752613,0.8771331058020477,287
Art & Design,0.9870999346832136,0.8502994011976048,0.9073482428115016,0.8778979907264297,313
Sports,0.9955911169170477,0.9438596491228071,0.9607142857142857,0.952212389380531,280
Style,0.9549314173742652,0.47719298245614034,0.5171102661596958,0.49635036496350365,263
Automobiles,0.9960809928151535,0.9116022099447514,0.953757225433526,0.9322033898305084,173
Economy,0.9908556499020248,0.9096774193548387,0.7704918032786885,0.834319526627219,183
Your Money,0.9884062704114958,0.8315789473684211,0.5895522388059702,0.6899563318777293,134
Global Business,0.995754408883083,0.8854166666666666,0.85,0.8673469387755102,100
Education,0.9941214892227302,0.8518518518518519,0.6216216216216216,0.71875,74
Well,0.989712606139778,0.6545454545454545,0.45,0.5333333333333333,80
