category,accuracy_clip,precision_clip,recall_clip,f1_clip,support,accuracy_visualbert,precision_visualbert,recall_visualbert,f1_visualbert
Theater,0.9924885695623775,0.9206349206349206,0.932475884244373,0.9265175718849841,311,0.9923252775963423,0.94,0.9067524115755627,0.9230769230769231
Television,0.9882429784454605,0.8494983277591973,0.9039145907473309,0.8758620689655172,281,0.988569562377531,0.867595818815331,0.8861209964412812,0.8767605633802817
Sports,0.9955911169170477,0.9438596491228071,0.9607142857142857,0.952212389380531,280,0.9960809928151535,0.9637681159420289,0.95,0.9568345323741008
Art & Design,0.9870999346832136,0.8502994011976048,0.9073482428115016,0.8778979907264297,313,0.9874265186152841,0.86875,0.8881789137380192,0.8783570300157978
Travel,0.9882429784454605,0.8595317725752508,0.8954703832752613,0.8771331058020477,287,0.9882429784454605,0.9118773946360154,0.8292682926829268,0.8686131386861314
Media,0.9781188765512737,0.8178807947019867,0.7576687116564417,0.7866242038216561,326,0.9786087524493795,0.7876106194690266,0.8190184049079755,0.8030075187969925
Music,0.9919986936642717,0.9187279151943463,0.9090909090909091,0.9138840070298769,286,0.9898758981058132,0.8660130718954249,0.9265734265734266,0.8952702702702703
Opinion,0.983180927498367,0.8267148014440433,0.8063380281690141,0.8163992869875223,284,0.9848138471587198,0.8523985239852399,0.8133802816901409,0.8324324324324325
Real Estate,0.9900391900718485,0.8914473684210527,0.9063545150501672,0.8988391376451078,299,0.9911822338340953,0.9016393442622951,0.919732441471572,0.9105960264900662
Books,0.9870999346832136,0.8323529411764706,0.9278688524590164,0.8775193798449612,305,0.9893860222077073,0.8703703703703703,0.9245901639344263,0.8966613672496025
Movies,0.99101894186806,0.9128919860627178,0.8972602739726028,0.9050086355785838,292,0.9877531025473547,0.8557377049180328,0.8938356164383562,0.8743718592964824
Food,0.9884062704114958,0.8432601880877743,0.9275862068965517,0.8834154351395731,290,0.9902024820378837,0.8938356164383562,0.9,0.8969072164948454
Technology,0.9830176355323318,0.8358662613981763,0.8461538461538461,0.8409785932721713,325,0.9854670150228608,0.8619631901840491,0.8646153846153846,0.8632872503840245
Dance,0.993958197256695,0.9576547231270358,0.9245283018867925,0.9408,318,0.9952645329849772,0.9800664451827242,0.9276729559748428,0.9531502423263328
Fashion & Style,0.972240365774004,0.7437722419928826,0.6807817589576547,0.7108843537414966,307,0.9751796211626388,0.7663230240549829,0.7263843648208469,0.745819397993311
Science,0.982527759634226,0.8262295081967214,0.8235294117647058,0.8248772504091653,306,0.9870999346832136,0.8795986622073578,0.8594771241830066,0.8694214876033057
Health,0.9810581319399085,0.7833827893175074,0.8599348534201955,0.8198757763975155,307,0.9835075114304376,0.8065476190476191,0.8827361563517915,0.8429237947122862
Style,0.9549314173742652,0.47719298245614034,0.5171102661596958,0.49635036496350365,263,0.9575440888308295,0.5057034220532319,0.5057034220532319,0.5057034220532319
Automobiles,0.9960809928151535,0.9116022099447514,0.953757225433526,0.9322033898305084,173,0.9980404964075767,0.9351351351351351,1.0,0.9664804469273743
Economy,0.9908556499020248,0.9096774193548387,0.7704918032786885,0.834319526627219,183,0.9895493141737427,0.8148148148148148,0.8415300546448088,0.8279569892473119
Your Money,0.9884062704114958,0.8315789473684211,0.5895522388059702,0.6899563318777293,134,0.9918354016982365,0.8442622950819673,0.7686567164179104,0.8046875
Global Business,0.995754408883083,0.8854166666666666,0.85,0.8673469387755102,100,0.9970607446113651,0.9361702127659575,0.88,0.9072164948453608
Education,0.9941214892227302,0.8518518518518519,0.6216216216216216,0.71875,74,0.9952645329849772,0.8169014084507042,0.7837837837837838,0.8
Well,0.989712606139778,0.6545454545454545,0.45,0.5333333333333333,80,0.9906923579359895,0.6885245901639344,0.525,0.5957446808510638
