category,accuracy_clip,precision_clip,recall_clip,f1_clip,support,accuracy_visualbert,precision_visualbert,recall_visualbert,f1_visualbert
Theater,0.990365774003919,0.8865030674846626,0.9292604501607717,0.9073783359497645,311,0.9941214892227302,0.9449838187702265,0.9389067524115756,0.9419354838709677
Books,0.989712606139778,0.8601190476190477,0.9475409836065574,0.9017160686427457,305,0.9937949052906597,0.9292604501607717,0.9475409836065574,0.9383116883116883
Health,0.9786087524493795,0.7303664921465969,0.9087947882736156,0.8098693759071117,307,0.9851404310907903,0.8333333333333334,0.8794788273615635,0.8557844690966719
Real Estate,0.9902024820378837,0.8793650793650793,0.9264214046822743,0.9022801302931596,299,0.9929784454604833,0.9383561643835616,0.9163879598662207,0.9272419627749577
Fashion & Style,0.9665251469627695,0.6208530805687204,0.8534201954397395,0.7187928669410151,307,0.9748530372305683,0.7524752475247525,0.742671009771987,0.7475409836065574
Science,0.9862834748530372,0.8827586206896552,0.8366013071895425,0.8590604026845637,306,0.9893860222077073,0.9112627986348123,0.8725490196078431,0.8914858096828047
Technology,0.9877531025473547,0.8810975609756098,0.8892307692307693,0.885145482388974,325,0.988569562377531,0.8851963746223565,0.9015384615384615,0.8932926829268293
Dance,0.9960809928151535,0.9537037037037037,0.9716981132075472,0.9626168224299065,318,0.9968974526453298,0.9716088328075709,0.9685534591194969,0.9700787401574803
Television,0.9893860222077073,0.875,0.896797153024911,0.8857644991212654,281,0.99101894186806,0.9346153846153846,0.8647686832740213,0.8983364140480592
Movies,0.9902024820378837,0.881578947368421,0.9178082191780822,0.8993288590604027,292,0.9911822338340953,0.8993288590604027,0.9178082191780822,0.9084745762711864
Food,0.9902024820378837,0.8571428571428571,0.9517241379310345,0.9019607843137255,290,0.9924885695623775,0.9121621621621622,0.9310344827586207,0.9215017064846417
Opinion,0.9862834748530372,0.8378378378378378,0.8732394366197183,0.8551724137931035,284,0.9882429784454605,0.8655172413793103,0.8838028169014085,0.8745644599303136
Music,0.9908556499020248,0.9020979020979021,0.9020979020979021,0.9020979020979021,286,0.9933050293925539,0.9328621908127208,0.9230769230769231,0.9279437609841827
Media,0.9813847158719791,0.8419354838709677,0.8006134969325154,0.8207547169811321,326,0.9812214239059438,0.8246153846153846,0.8220858895705522,0.8233486943164362
Travel,0.989712606139778,0.868421052631579,0.9198606271777003,0.8934010152284264,287,0.9893860222077073,0.8512658227848101,0.9372822299651568,0.8922056384742952
Art & Design,0.986773350751143,0.8536585365853658,0.8945686900958466,0.8736349453978159,313,0.9890594382756368,0.8867924528301887,0.9009584664536742,0.8938193343898574
Sports,0.9942847811887655,0.9042904290429042,0.9785714285714285,0.9399656946826758,280,0.9972240365774004,0.9747292418772563,0.9642857142857143,0.9694793536804309
Style,0.9588504245591117,0.5774647887323944,0.155893536121673,0.24550898203592814,263,0.9568909209666885,0.49800796812749004,0.4752851711026616,0.48638132295719844
Automobiles,0.9962442847811888,0.898936170212766,0.976878612716763,0.9362880886426593,173,0.9973873285434357,0.943502824858757,0.9653179190751445,0.9542857142857143
Economy,0.99101894186806,0.9050632911392406,0.7814207650273224,0.8387096774193549,183,0.9924885695623775,0.9005847953216374,0.8415300546448088,0.8700564971751412
Your Money,0.9890594382756368,0.8850574712643678,0.5746268656716418,0.6968325791855203,134,0.9919986936642717,0.8244274809160306,0.8059701492537313,0.8150943396226416
Global Business,0.995754408883083,0.8936170212765957,0.84,0.865979381443299,100,0.9970607446113651,0.8867924528301887,0.94,0.912621359223301
Education,0.9942847811887655,0.8421052631578947,0.6486486486486487,0.732824427480916,74,0.9962442847811888,0.8591549295774648,0.8243243243243243,0.8413793103448276
Well,0.9877531025473547,1.0,0.0625,0.11764705882352941,80,0.9895493141737427,0.6081081081081081,0.5625,0.5844155844155844
