category,accuracy,precision,recall,f1,support
Theater,0.9923252775963423,0.94,0.9067524115755627,0.9230769230769231,311
Books,0.9893860222077073,0.8703703703703703,0.9245901639344263,0.8966613672496025,305
Health,0.9835075114304376,0.8065476190476191,0.8827361563517915,0.8429237947122862,307
Real Estate,0.9911822338340953,0.9016393442622951,0.919732441471572,0.9105960264900662,299
Fashion & Style,0.9751796211626388,0.7663230240549829,0.7263843648208469,0.745819397993311,307
Science,0.9870999346832136,0.8795986622073578,0.8594771241830066,0.8694214876033057,306
Technology,0.9854670150228608,0.8619631901840491,0.8646153846153846,0.8632872503840245,325
Dance,0.9952645329849772,0.9800664451827242,0.9276729559748428,0.9531502423263328,318
Television,0.988569562377531,0.867595818815331,0.8861209964412812,0.8767605633802817,281
Movies,0.9877531025473547,0.8557377049180328,0.8938356164383562,0.8743718592964824,292
Food,0.9902024820378837,0.8938356164383562,0.9,0.8969072164948454,290
Opinion,0.9848138471587198,0.8523985239852399,0.8133802816901409,0.8324324324324325,284
Music,0.9898758981058132,0.8660130718954249,0.9265734265734266,0.8952702702702703,286
Media,0.9786087524493795,0.7876106194690266,0.8190184049079755,0.8030075187969925,326
Travel,0.9882429784454605,0.9118773946360154,0.8292682926829268,0.8686131386861314,287
Art & Design,0.9874265186152841,0.86875,0.8881789137380192,0.8783570300157978,313
Sports,0.9960809928151535,0.9637681159420289,0.95,0.9568345323741008,280
Style,0.9575440888308295,0.5057034220532319,0.5057034220532319,0.5057034220532319,263
Automobiles,0.9980404964075767,0.9351351351351351,1.0,0.9664804469273743,173
Economy,0.9895493141737427,0.8148148148148148,0.8415300546448088,0.8279569892473119,183
Your Money,0.9918354016982365,0.8442622950819673,0.7686567164179104,0.8046875,134
Global Business,0.9970607446113651,0.9361702127659575,0.88,0.9072164948453608,100
Education,0.9952645329849772,0.8169014084507042,0.7837837837837838,0.8,74
Well,0.9906923579359895,0.6885245901639344,0.525,0.5957446808510638,80
