setting,shots_per_class,seed,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
zero_shot,0,-1,0.43141737426518617,0.40572311303385805,0.4077977073339978,0.3891737710665401,0.4391686435318157,0.43141737426518617,0.4172557853665845
few_shot_linear_probe_k1_seed11,1,11,0.29931417374265185,0.2866478029237085,0.3005443179458341,0.2784427673218141,0.30878242070449957,0.29931417374265185,0.2909325130037837
few_shot_linear_probe_k1_seed42,1,42,0.269268451992162,0.24053991652181808,0.24475546018648245,0.22846816234659215,0.27022280794469594,0.269268451992162,0.25404612313830366
few_shot_linear_probe_k1_seed123,1,123,0.256041802743305,0.22588326644367665,0.2547467895797595,0.23292138083662217,0.23097685040699714,0.256041802743305,0.23653281097941734
few_shot_linear_probe_k2_seed11,2,11,0.3504245591116917,0.3241376349475342,0.3449445390501375,0.32138379277398316,0.3437457179893411,0.3504245591116917,0.33548122427702803
few_shot_linear_probe_k2_seed42,2,42,0.3425865447419987,0.29695133739026797,0.3346307544215798,0.29988961887321713,0.3208264745457527,0.3425865447419987,0.31661451643954
few_shot_linear_probe_k2_seed123,2,123,0.2895166557805356,0.2729688458406076,0.2976995794825054,0.2669352905038978,0.2906187088490036,0.2895166557805356,0.2745229301574116
few_shot_linear_probe_k4_seed11,4,11,0.3870019595035924,0.36195519228363787,0.37860660430497856,0.35421684493707506,0.386981754598229,0.3870019595035924,0.37031120432702885
few_shot_linear_probe_k4_seed42,4,42,0.38602220770738077,0.3543656991535749,0.38472938650967486,0.3516715587182088,0.38065737914236975,0.38602220770738077,0.36800970446044096
few_shot_linear_probe_k4_seed123,4,123,0.3879817112998041,0.3610535629828186,0.3874986662843775,0.3564962529813284,0.3860179168961107,0.3879817112998041,0.3722910797604446
few_shot_linear_probe_k8_seed11,8,11,0.43974526453298496,0.4047148645364071,0.4332615163521473,0.4027507825748973,0.43252082687272697,0.43974526453298496,0.42262069453448764
few_shot_linear_probe_k8_seed42,8,42,0.43860222077073807,0.40670431571174753,0.4353621205068894,0.4057915978948707,0.4281807534191194,0.43860222077073807,0.42138045647554234
few_shot_linear_probe_k8_seed123,8,123,0.4217831482691052,0.3920771404993219,0.4147659088936034,0.3886293782674561,0.42010372740421104,0.4217831482691052,0.4085204178114209
few_shot_linear_probe_k16_seed11,16,11,0.4622795558458524,0.43657488981245685,0.4512776014658256,0.42762442238288173,0.4666435159102791,0.4622795558458524,0.45029116398171304
few_shot_linear_probe_k16_seed42,16,42,0.48285434356629653,0.44772740670825395,0.4801300764331127,0.4491082030883753,0.4756209635927812,0.48285434356629653,0.468229405915416
few_shot_linear_probe_k16_seed123,16,123,0.47811887655127366,0.45858594371993516,0.47444265931784474,0.45227895345983016,0.4939462388073589,0.47811887655127366,0.4761189682386196
