model,label,support,precision,recall,f1,tp,fp,fn,tn
BERT_full_weighted,toxic,6090,0.5475826972010178,0.8834154351395731,0.6760917373546969,5380,4445,710,53443
BERT_full_weighted,severe_toxic,367,0.2887624466571835,0.553133514986376,0.37943925233644854,203,500,164,63111
BERT_full_weighted,obscene,3691,0.6193169914100146,0.8008669737198592,0.6984877126654064,2956,1817,735,58470
BERT_full_weighted,threat,211,0.3805309734513274,0.8151658767772512,0.5188536953242836,172,280,39,63487
BERT_full_weighted,insult,3427,0.5812145408699306,0.8071199299679019,0.675787930613242,2766,1993,661,58558
BERT_full_weighted,identity_hate,712,0.5372972972972972,0.6980337078651685,0.6072083078802687,497,428,215,62838
BERT_full_nonweighted,toxic,6090,0.5226583238528631,0.9052545155993432,0.6626998437312177,5513,5035,577,52853
BERT_full_nonweighted,severe_toxic,367,0.24143692564745195,0.7874659400544959,0.36956521739130427,289,908,78,62703
BERT_full_nonweighted,obscene,3691,0.5936483642624832,0.8406935789758873,0.6958959407939,3103,2124,588,58163
BERT_full_nonweighted,threat,211,0.3493975903614458,0.8246445497630331,0.4908321579689704,174,324,37,63443
BERT_full_nonweighted,insult,3427,0.6145264116575592,0.7875693025970236,0.6903696124824146,2699,1693,728,58858
BERT_full_nonweighted,identity_hate,712,0.47811725846407926,0.8132022471910112,0.6021840873634946,579,632,133,62634
LSTM_weighted,toxic,6090,0.5622565797238286,0.7822660098522167,0.654260797912518,4764,3709,1326,54179
LSTM_weighted,severe_toxic,367,0.21103117505995203,0.7193460490463215,0.3263288009888751,264,987,103,62624
LSTM_weighted,obscene,3691,0.5838509316770186,0.7640205906258467,0.6618941438798263,2820,2010,871,58277
LSTM_weighted,threat,211,0.3473389355742297,0.5876777251184834,0.4366197183098592,124,233,87,63534
LSTM_weighted,insult,3427,0.5378719567177638,0.6962357747300846,0.6068930433676714,2386,2050,1041,58501
LSTM_weighted,identity_hate,712,0.36923076923076925,0.5730337078651685,0.4490919097413319,408,697,304,62569
LSTM_nonweighted,toxic,6090,0.5386917486105173,0.8275862068965517,0.6525961413958307,5040,4316,1050,53572
LSTM_nonweighted,severe_toxic,367,0.20966484801247076,0.7329700272479565,0.32606060606060605,269,1014,98,62597
LSTM_nonweighted,obscene,3691,0.5954134231011993,0.7667298835004064,0.6702984367598296,2830,1923,861,58364
LSTM_nonweighted,threat,211,0.17814726840855108,0.35545023696682465,0.23734177215189872,75,346,136,63421
LSTM_nonweighted,insult,3427,0.5269973661106233,0.7006127808578932,0.6015282475259927,2401,2155,1026,58396
LSTM_nonweighted,identity_hate,712,0.3020937188434696,0.425561797752809,0.35335276967930024,303,700,409,62566
BERT_head_only_weighted,toxic,6090,0.4957308525551166,0.638752052545156,0.5582263040826577,3890,3957,2200,53931
BERT_head_only_weighted,severe_toxic,367,0.16666666666666666,0.5313351498637602,0.25374105400130126,195,975,172,62636
BERT_head_only_weighted,obscene,3691,0.5334425334425335,0.5293958276889732,0.5314114767473485,1954,1709,1737,58578
BERT_head_only_weighted,threat,211,0.20618556701030927,0.2843601895734597,0.2390438247011952,60,231,151,63536
BERT_head_only_weighted,insult,3427,0.4649079143852663,0.5450831631164283,0.5018132975151108,1868,2150,1559,58401
BERT_head_only_weighted,identity_hate,712,0.17331875341716785,0.4452247191011236,0.24950806768988584,317,1512,395,61754
BERT_head_only_nonweighted,toxic,6090,0.534313005143277,0.5970443349753695,0.5639395114385419,3636,3169,2454,54719
BERT_head_only_nonweighted,severe_toxic,367,0.20822622107969152,0.44141689373297005,0.2829694323144105,162,616,205,62995
BERT_head_only_nonweighted,obscene,3691,0.5004743833017078,0.5716607965321051,0.5337043126343745,2110,2106,1581,58181
BERT_head_only_nonweighted,threat,211,0.25806451612903225,0.07582938388625593,0.11721611721611722,16,46,195,63721
BERT_head_only_nonweighted,insult,3427,0.4677914110429448,0.5339947475926466,0.49870554571467507,1830,2082,1597,58469
BERT_head_only_nonweighted,identity_hate,712,0.2556732223903177,0.23735955056179775,0.24617625637290602,169,492,543,62774
